EST_MSA,In-store,Online,Online + Pickup,Pickup,contactless,cash,avoided restaurants,resumed restaurants,MSA_NAME
12060.0,8.59,47.3,38.47,5.64,92.73,7.27,86.59,13.41,Atlanta-Sandy Springs-Alpharetta
14460.0,6.66,55.97,33.67,3.7,94.55,5.45,87.68,12.32,Boston-Cambridge-Newton
16980.0,7.62,48.39,37.91,6.08,94.34,5.66,89.08,10.92,Chicago-Naperville-Elgin
19100.0,8.53,41.07,42.84,7.56,92.32,7.68,84.79,15.21,Dallas-Fort Worth-Arlington
19820.0,9.66,46.58,36.89,6.87,92.0,8.0,85.4,14.6,Detroit-Warren-Dearborn
26420.0,9.55,40.29,41.74,8.43,92.64,7.36,84.75,15.25,Houston-The Woodlands-Sugar Land
31080.0,6.99,52.22,36.14,4.64,93.8,6.2,90.7,9.3,Los Angeles-Long Beach-Anaheim
33100.0,9.93,54.18,30.99,4.9,92.35,7.65,88.63,11.37,Miami-Fort Lauderdale-Pompano Beach
35620.0,8.94,59.96,27.19,3.91,93.29,6.71,86.28,13.72,New York-Newark-Jersey City
37980.0,8.29,53.34,33.55,4.83,92.59,7.41,87.97,12.03,Philadelphia-Camden-Wilmington
38060.0,8.3,46.57,38.93,6.2,92.59,7.41,85.11,14.89,Phoenix-Mesa-Chandler
40140.0,8.74,52.62,33.36,5.28,90.81,9.19,89.94,10.06,Riverside-San Bernardino-Ontario
41860.0,5.84,58.52,32.44,3.19,95.43,4.57,92.7,7.3,San Francisco-Oakland-Berkeley
42660.0,5.42,55.84,34.62,4.11,95.15,4.85,90.47,9.53,Seattle-Tacoma-Bellevue
47900.0,6.64,51.89,37.14,4.32,94.83,5.17,90.68,9.32,Washington-Arlington-Alexandria
